Concentration,Time_min,Fit_Value,Vmax,Km
0.625 ug/mL,18.241206030150753,11184.8,11015.0,0.1125
0.625 ug/mL,18.391959798994975,11184.8,11015.0,0.1125
0.625 ug/mL,18.542713567839193,11184.8,11015.0,0.1125
0.625 ug/mL,18.693467336683415,11184.8,11015.0,0.1125
0.625 ug/mL,18.844221105527637,11184.8,11015.0,0.1125
0.625 ug/mL,18.994974874371856,11184.8,11015.0,0.1125
0.625 ug/mL,19.145728643216078,11184.8,11015.0,0.1125
0.625 ug/mL,19.2964824120603,11184.8,11015.0,0.1125
0.625 ug/mL,19.44723618090452,11184.8,11015.0,0.1125
0.625 ug/mL,19.597989949748744,11184.8,11015.0,0.1125
0.625 ug/mL,19.748743718592962,11184.8,11015.0,0.1125
0.625 ug/mL,19.899497487437184,11184.8,11015.0,0.1125
0.625 ug/mL,20.050251256281406,11184.8,11015.0,0.1125
0.625 ug/mL,20.201005025125625,11184.8,11015.0,0.1125
0.625 ug/mL,20.351758793969847,11184.8,11015.0,0.1125
0.625 ug/mL,20.50251256281407,11184.8,11015.0,0.1125
0.625 ug/mL,20.65326633165829,11184.8,11015.0,0.1125
0.625 ug/mL,20.804020100502512,11184.8,11015.0,0.1125
0.625 ug/mL,20.95477386934673,11184.8,11015.0,0.1125
0.625 ug/mL,21.105527638190953,11184.8,11015.0,0.1125
0.625 ug/mL,21.256281407035175,11184.8,11015.0,0.1125
0.625 ug/mL,21.407035175879393,11184.8,11015.0,0.1125
0.625 ug/mL,21.557788944723615,11184.8,11015.0,0.1125
0.625 ug/mL,21.708542713567837,11184.8,11015.0,0.1125
0.625 ug/mL,21.85929648241206,11184.8,11015.0,0.1125
0.625 ug/mL,22.01005025125628,11184.8,11015.0,0.1125
0.625 ug/mL,22.1608040201005,11184.8,11015.0,0.1125
0.625 ug/mL,22.31155778894472,11184.8,11015.0,0.1125
0.625 ug/mL,22.462311557788944,11184.8,11015.0,0.1125
0.625 ug/mL,22.613065326633162,11184.8,11015.0,0.1125
0.625 ug/mL,22.763819095477384,11184.8,11015.0,0.1125
0.625 ug/mL,22.914572864321606,11184.8,11015.0,0.1125
0.625 ug/mL,23.065326633165828,11184.8,11015.0,0.1125
0.625 ug/mL,23.21608040201005,11184.8,11015.0,0.1125
0.625 ug/mL,23.36683417085427,11184.8,11015.0,0.1125
0.625 ug/mL,23.51758793969849,11184.8,11015.0,0.1125
0.625 ug/mL,23.668341708542712,11184.8,11015.0,0.1125
0.625 ug/mL,23.81909547738693,11184.8,11015.0,0.1125
0.625 ug/mL,23.969849246231153,11184.8,11015.0,0.1125
0.625 ug/mL,24.120603015075375,11184.8,11015.0,0.1125
0.625 ug/mL,24.271356783919597,11184.8,11015.0,0.1125
0.625 ug/mL,24.42211055276382,11184.8,11015.0,0.1125
0.625 ug/mL,24.572864321608037,11184.8,11015.0,0.1125
0.625 ug/mL,24.72361809045226,11184.8,11015.0,0.1125
0.625 ug/mL,24.87437185929648,11184.8,11015.0,0.1125
0.625 ug/mL,25.0251256281407,11184.8,11015.0,0.1125
0.625 ug/mL,25.17587939698492,11184.8,11015.0,0.1125
0.625 ug/mL,25.326633165829143,11184.8,11015.0,0.1125
0.625 ug/mL,25.477386934673365,11184.8,11015.0,0.1125
0.625 ug/mL,25.628140703517587,11184.8,11015.0,0.1125
0.625 ug/mL,25.778894472361806,11184.8,11015.0,0.1125
